Y;X1;X2;X3
225636840;974;396;585
217494000;430;562;900
213776220;817;735;356
187983360;597;984;320
92486745;349;351;755
22468986;601;279;134
40335120;560;151;477
168309256;461;971;376
150845646;457;609;542
26295184;479;752;73
62736100;623;530;190
551862;186;989;3
860436;93;18;514
40277120;376;824;130
56040348;988;111;511
106618512;196;634;858
180712192;608;424;701
55139364;183;633;476
51124095;995;99;519
14494264;152;167;571
2149416;18;372;321
49558348;458;413;262
41521896;636;117;558
5829768;63;172;538
6083040;87;95;736
230281380;967;270;882
128366238;871;609;242
142842074;601;787;302
83799465;345;293;829
321906312;689;504;927
341622390;771;751;590
81510068;667;223;548
782012070;945;969;854
46053084;231;788;253
2640625;125;169;125
94800363;973;691;141
17188470;65;531;498
252982320;592;465;919
536878080;915;768;764
40365216;486;232;358
324834880;530;856;716
48223728;111;862;504
58826265;269;717;305
91971528;879;451;232
49178844;738;286;233
52988715;327;831;195
333802260;855;467;836
67892016;232;323;906
434454264;797;904;603
116929232;752;229;679
98898624;176;594;946
41569454;229;562;323
886886;26;77;443
79037760;334;464;510
36201600;838;432;100
12084939;873;109;127
6121388;91;268;251
31028800;328;440;215
25529864;248;113;911
249600;104;480;5
398147040;566;720;977
33658632;591;504;113
125166384;486;876;294
615322116;783;881;892
3254160;20;596;273
590731540;766;958;805
21758776;794;34;806
68769162;298;693;333
226545264;799;528;537
236711376;914;396;654
35717340;970;969;38
532957590;990;577;933
64494864;336;587;327
173693403;939;527;351
32705127;819;493;81
3021480;872;105;33
73770768;472;914;171
74620290;661;426;265
20516280;712;565;51
49693056;973;608;84
49960064;518;548;176
363416247;771;747;631
303933456;348;876;997
5640184;11;599;856
2634825;15;215;817
39766056;682;678;86
10748400;260;265;156
2999808;16;216;868
116424792;548;522;407
166226580;405;468;877
512868158;869;601;982
78408724;202;842;461
141720840;332;465;918
71751680;980;572;128
347894865;837;857;485
365816880;663;760;726
86928192;247;416;846
230100066;801;289;994
406046550;453;910;985
1530816;402;224;17
105991557;137;931;831
16775068;439;466;82
7523180;203;545;68
56918862;567;594;169
127904760;292;471;930
117162969;941;539;231
2789292;22;187;678
157508352;288;548;998
156725920;755;499;416
96925650;355;570;479
341437488;537;811;784
187677940;668;415;677
106256510;746;305;467
139988760;769;492;370
487305000;884;625;882
195754920;643;472;645
